Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"do cats sense pregnancy","7","0","90","81.70","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.09","0.00","0.00","4810000","0.21,0.21,0.36,0.79,1.00,1.00,0.50,0.21,0.36,0.79,0.79,0.64","1468640797"
"whiskas choice cuts","2","3","30","79.60","0.81","http://www.whiskas.com/Products/Product/ocean-whitefish-tuna","0.09","0.06","1.00","21000","0.60,0.40,0.40,1.00,0.60,0.80,0.80,1.00,0.60,0.60,0.60,0.40","1469929253"
"whiska cat food","2","2","30","70.95","3.52","http://www.whiskas.com/Products","0.09","0.28","1.00","4000","0.50,0.50,0.75,0.50,0.50,0.75,0.75,1.00,0.25,0.75,1.00,0.50","1469908818"
"cat food whiskas","2","0","30","72.06","2.32","http://www.whiskas.com/Products","0.09","0.19","1.00","508000","0.33,0.33,0.22,0.22,0.22,0.44,1.00,0.33,0.56,0.33,0.22,0.33","1469913496"
"do cats know your pregnant","3","4","40","81.05","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.09","0.00","0.06","4780000","0.57,0.57,0.29,0.29,0.71,1.00,0.29,0.43,0.43,0.71,1.00,1.00","1469895409"
"whiskas canned cat food","2","2","20","81.61","1.01","http://www.whiskas.com/Products","0.06","0.04","1.00","83000","0.33,0.67,0.33,0.67,0.67,0.67,0.67,0.67,0.33,0.33,1.00,0.67","1470624936"
"the life cycle of a cat","4","3","40","74.01","0.00","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.06","0.00","0.00","2850000","1.00,0.56,0.78,0.11,0.11,0.11,0.33,0.56,0.33,0.33,0.56,0.33","1469900284"
"clean cat","8","6","70","83.49","0.06","http://www.whiskas.com/CatsCorner/Article/Clean-Cats-Happy-Cats","0.06","0.00","0.65","134000000","0.78,0.78,1.00,1.00,0.78,1.00,0.78,1.00,0.78,0.78,1.00,1.00","1469543264"
"clean cats","3","3","30","84.28","0.00","http://www.whiskas.com/CatsCorner/Article/Clean-Cats-Happy-Cats","0.06","0.00","0.28","102000000","0.75,0.50,0.50,1.00,0.50,1.00,1.00,0.50,0.75,1.00,1.00,1.00","1469481041"
"struvite stones","28","28","1900","83.22","0.20","http://www.whiskas.com/CatsCorner/Article/Caring-for-Struvite-Stones","0.06","0.00","0.04","142000","0.79,0.67,0.67,0.67,0.79,0.79,0.79,0.79,0.79,0.79,0.79,1.00","1469005526"
"cat food pouches","9","7","70","75.39","3.49","http://www.whiskas.com/Products/Product/chicken-gravy","0.06","0.15","1.00","1240000","0.64,0.45,0.64,1.00,0.64,0.64,0.64,0.82,0.64,0.64,0.82,0.64","1469502555"
"can a cat tell if your pregnant","5","4","40","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.06","0.00","0.03","7380000","0.71,1.00,0.29,0.14,0.14,0.29,0.43,0.29,1.00,1.00,0.57,0.29","1469872653"
"wiskas cat food","2","2","20","83.19","1.67","http://www.whiskas.com/Products","0.06","0.08","1.00","498000","0.67,1.00,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.33,0.67,0.67","1466973681"
